(0, 0), [1, 1]
(128, 7), [0, 1]
(130, 7), [1, 0]
(134, 7), [1, -1]
(134, 7), [1, 1]
(136, 7), [0, -1]
(136, 7), [1, 1]
(138, 7), [0, -1]
(18, 8), [-1, 1]
(32, 8), [-1, 1]
(80, 8), [1, -1]
(90, 8), [-1, 0]
(113, 8), [1, -1]
(113, 8), [1, 1]
(127, 8), [-1, -1]
(7, 9), [1, -1]
(11, 9), [-1, 1]
(13, 9), [-1, -1]
(15, 9), [1, -1]
(21, 9), [0, -1]
(41, 9), [-1, 0]
(47, 9), [1, -1]
(57, 9), [1, 1]
(59, 9), [1, -1]
(61, 9), [-1, 1]
(63, 9), [1, -1]
(65, 9), [-1, -1]
(71, 9), [1, 1]
(75, 9), [-1, 1]
(75, 9), [1, -1]
(75, 9), [1, 1]
(77, 9), [-1, 1]
(95, 9), [-1, -1]
(101, 9), [-1, -1]
(102, 9), [1, 1]
(103, 9), [0, 1]
(106, 9), [-1, 1]
(110, 9), [-1, -1]
(113, 9), [-1, -1]
(121, 9), [1, -1]
(122, 9), [-1, 1]
(122, 9), [0, -1]
(125, 9), [-1, -1]
(129, 9), [-1, -1]
(35, 10), [-1, 1]
(39, 10), [1, 0]
(47, 10), [-1, 0]
(62, 10), [0, 1]
(77, 10), [-1, -1]
(80, 10), [1, -1]
(84, 10), [-1, 1]
(108, 10), [1, 1]
(116, 10), [1, 0]
(122, 10), [-1, 0]
(0, 11), [1, 0]
(4, 11), [-1, 1]
(10, 11), [-1, -1]
(10, 11), [0, -1]
(14, 11), [0, -1]
(14, 11), [1, -1]
(22, 11), [0, -1]
(23, 11), [1, -1]
(24, 11), [-1, 1]
(24, 11), [0, -1]
(25, 11), [-1, -1]
(26, 11), [1, 1]
(28, 11), [-1, 1]
(37, 11), [-1, 1]
(37, 11), [1, -1]
(44, 11), [1, 1]
(70, 11), [-1, -1]
(79, 11), [-1, 0]
(79, 11), [0, -1]
(80, 11), [-1, -1]
(90, 11), [1, 1]
(96, 11), [-1, 1]
(96, 11), [0, 1]
(98, 11), [-1, 1]
(98, 11), [1, -1]
(102, 11), [-1, 1]
(105, 11), [0, -1]
(107, 11), [0, -1]
(121, 11), [1, 0]
(11, 12), [-1, 1]
(16, 12), [-1, 0]
(43, 12), [-1, 0]
(43, 12), [-1, 1]
(54, 12), [-1, -1]
(61, 12), [1, -1]
(65, 12), [-1, 1]
(81, 12), [-1, 0]
(85, 12), [1, -1]
(106, 12), [1, 1]
(113, 12), [-1, 1]
(113, 12), [0, 1]
(113, 12), [1, -1]
(114, 12), [-1, 1]
(136, 12), [1, -1]
(136, 12), [1, 0]
(11, 13), [-1, -1]
(12, 13), [1, 0]
(18, 13), [-1, 0]
(24, 13), [1, 0]
(44, 13), [1, 0]
(65, 13), [1, -1]
(71, 13), [-1, -1]
(71, 13), [-1, 1]
(79, 13), [-1, 0]
(79, 13), [0, 1]
(80, 13), [-1, 1]
(80, 13), [1, 1]
(90, 13), [-1, 0]
(90, 13), [1, 0]
(98, 13), [1, 0]
(116, 13), [1, -1]
(124, 13), [1, -1]
(125, 13), [1, 1]
(128, 13), [0, 1]
(131, 13), [-1, -1]
(131, 13), [1, 0]
(131, 13), [1, 1]
(4, 14), [-1, 0]
(4, 14), [-1, 1]
(12, 14), [1, -1]
(50, 14), [-1, -1]
(69, 14), [1, -1]
(71, 14), [1, 0]
(77, 14), [-1, 0]
(88, 14), [1, 0]
(94, 14), [-1, 1]
(0, 15), [1, 1]
(11, 15), [-1, -1]
(16, 15), [-1, -1]
(28, 15), [-1, -1]
(47, 15), [0, 1]
(49, 15), [-1, 1]
(49, 15), [0, 1]
(65, 15), [-1, 0]
(65, 15), [-1, 1]
(71, 15), [-1, 1]
(71, 15), [1, -1]
(81, 15), [1, 1]
(92, 15), [1, 1]
(101, 15), [-1, 1]
(102, 15), [-1, -1]
(102, 15), [1, -1]
(116, 15), [1, -1]
(118, 15), [1, 1]
(119, 15), [0, -1]
(124, 15), [1, 1]
(129, 15), [-1, -1]
(0, 16), [1, -1]
(4, 16), [-1, -1]
(8, 16), [1, 1]
(21, 16), [-1, 1]
(51, 16), [0, -1]
(55, 16), [1, 1]
(59, 16), [-1, 1]
(59, 16), [1, -1]
(59, 16), [1, 0]
(63, 16), [1, -1]
(63, 16), [1, 0]
(84, 16), [1, -1]
(101, 16), [-1, 0]
(108, 16), [-1, -1]
(114, 16), [-1, 1]
(115, 16), [-1, 1]
(136, 16), [1, -1]
(139, 16), [-1, -1]
(22, 17), [1, -1]
(26, 17), [-1, 1]
(32, 17), [-1, -1]
(32, 17), [1, 1]
(36, 17), [-1, 1]
(41, 17), [-1, -1]
(45, 17), [-1, 0]
(45, 17), [0, -1]
(50, 17), [-1, -1]
(52, 17), [1, -1]
(54, 17), [0, -1]
(67, 17), [0, 1]
(67, 17), [1, 0]
(74, 17), [-1, 1]
(77, 17), [-1, 1]
(77, 17), [1, 1]
(84, 17), [1, 0]
(107, 17), [-1, 1]
(115, 17), [1, 1]
(121, 17), [-1, 1]
(125, 17), [0, -1]
(131, 17), [1, 1]
(133, 17), [-1, 1]
(133, 17), [1, 1]
(11, 18), [1, 1]
(16, 18), [1, 1]
(32, 18), [1, -1]
(65, 18), [-1, 0]
(80, 18), [-1, -1]
(88, 18), [1, -1]
(97, 18), [1, 1]
(110, 18), [1, -1]
(1, 19), [0, 1]
(2, 19), [0, 1]
(38, 19), [-1, 0]
(38, 19), [0, 1]
(48, 19), [1, 1]
(49, 19), [-1, -1]
(49, 19), [0, 1]
(61, 19), [-1, -1]
(69, 19), [1, -1]
(69, 19), [1, 1]
(73, 19), [0, -1]
(73, 19), [1, 0]
(81, 19), [-1, 0]
(81, 19), [0, -1]
(84, 19), [-1, -1]
(86, 19), [1, 1]
(118, 19), [0, -1]
(118, 19), [1, -1]
(123, 19), [1, 0]
(129, 19), [-1, -1]
(11, 20), [1, 1]
(12, 20), [0, -1]
(32, 20), [1, 1]
(55, 20), [0, -1]
(65, 20), [-1, -1]
(65, 20), [1, 1]
(73, 20), [1, 1]
(84, 20), [1, -1]
(88, 20), [1, -1]
(110, 20), [0, 1]
(112, 20), [-1, 1]
(112, 20), [1, 1]
(139, 20), [-1, 0]
(139, 20), [0, -1]
(6, 21), [1, -1]
(10, 21), [-1, -1]
(34, 21), [1, 1]
(39, 21), [0, 1]
(47, 21), [-1, -1]
(58, 21), [1, 1]
(83, 21), [1, 0]
(87, 21), [-1, 1]
(87, 21), [1, 1]
(96, 21), [-1, -1]
(96, 21), [-1, 1]
(112, 21), [1, 0]
(117, 21), [0, -1]
(118, 21), [1, -1]
(119, 21), [1, -1]
(139, 21), [-1, 1]
(3, 22), [-1, 1]
(6, 22), [-1, -1]
(11, 22), [1, -1]
(12, 22), [-1, 1]
(14, 22), [-1, 1]
(32, 22), [1, 1]
(79, 22), [-1, -1]
(79, 22), [-1, 1]
(79, 22), [0, 1]
(111, 22), [-1, -1]
(112, 22), [-1, 1]
(130, 22), [1, 1]
(19, 23), [-1, 1]
(19, 23), [1, -1]
(25, 23), [-1, -1]
(34, 23), [1, -1]
(37, 23), [0, -1]
(37, 23), [1, 1]
(42, 23), [-1, -1]
(42, 23), [0, -1]
(42, 23), [0, 1]
(43, 23), [-1, 1]
(44, 23), [-1, -1]
(44, 23), [1, -1]
(48, 23), [-1, -1]
(49, 23), [0, 1]
(69, 23), [1, -1]
(75, 23), [-1, -1]
(75, 23), [1, -1]
(92, 23), [-1, 1]
(103, 23), [-1, -1]
(130, 23), [1, 0]
(130, 23), [1, 1]
(134, 23), [0, -1]
(139, 23), [-1, -1]
(11, 24), [-1, -1]
(11, 24), [-1, 1]
(11, 24), [1, -1]
(11, 24), [1, 1]
(13, 24), [1, 1]
(17, 24), [-1, 1]
(17, 24), [1, 1]
(19, 24), [1, 0]
(32, 24), [1, -1]
(50, 24), [1, -1]
(62, 24), [1, 1]
(65, 24), [0, -1]
(70, 24), [-1, 1]
(87, 24), [-1, 0]
(92, 24), [1, -1]
(103, 24), [-1, -1]
(118, 24), [-1, -1]
(123, 24), [0, -1]
(124, 24), [-1, 1]
(124, 24), [1, -1]
(130, 24), [-1, -1]
(135, 24), [0, 1]
(135, 24), [1, -1]
(25, 25), [1, -1]
(62, 25), [1, 1]
(65, 25), [-1, -1]
(87, 25), [-1, -1]
(92, 25), [-1, -1]
(97, 25), [1, 1]
(101, 25), [-1, 0]
(6, 26), [0, -1]
(6, 26), [1, 1]
(11, 26), [1, 0]
(17, 26), [-1, -1]
(38, 26), [-1, -1]
(48, 26), [-1, 1]
(48, 26), [1, 1]
(66, 26), [0, -1]
(73, 26), [1, -1]
(73, 26), [1, 1]
(124, 26), [-1, -1]
(126, 26), [1, 1]
(136, 26), [-1, -1]
(136, 26), [1, 1]
(17, 27), [-1, 1]
(19, 27), [-1, -1]
(25, 27), [-1, -1]
(25, 27), [-1, 1]
(30, 27), [1, -1]
(32, 27), [-1, -1]
(32, 27), [0, 1]
(39, 27), [0, -1]
(41, 27), [0, -1]
(42, 27), [-1, -1]
(77, 27), [-1, -1]
(77, 27), [1, 1]
(81, 27), [-1, 0]
(81, 27), [-1, 1]
(88, 27), [0, -1]
(89, 27), [1, 0]
(126, 27), [1, -1]
(130, 27), [-1, -1]
(134, 27), [-1, 1]
(138, 27), [-1, 0]
(6, 28), [1, 1]
(10, 28), [0, 1]
(26, 28), [1, 1]
(27, 28), [-1, -1]
(27, 28), [1, 1]
(40, 28), [-1, 1]
(44, 28), [0, -1]
(53, 28), [1, 0]
(66, 28), [1, 0]
(66, 28), [1, 1]
(70, 28), [-1, 1]
(73, 28), [1, -1]
(84, 28), [1, 1]
(88, 28), [-1, 0]
(88, 28), [-1, 1]
(89, 28), [1, 0]
(93, 28), [-1, 1]
(107, 28), [-1, 0]
(114, 28), [-1, 1]
(116, 28), [1, -1]
(119, 28), [0, -1]
(119, 28), [1, -1]
(122, 28), [0, -1]
(123, 28), [-1, -1]
(123, 28), [1, 1]
(126, 28), [0, 1]
(129, 28), [-1, 1]
(130, 28), [-1, -1]
(5, 29), [0, -1]
(11, 29), [1, -1]
(11, 29), [1, 1]
(17, 29), [-1, -1]
(17, 29), [-1, 0]
(17, 29), [-1, 1]
(25, 29), [0, 1]
(26, 29), [-1, 1]
(58, 29), [1, -1]
(60, 29), [1, 1]
(64, 29), [-1, -1]
(64, 29), [1, 1]
(77, 29), [-1, -1]
(84, 29), [1, 1]
(91, 29), [1, 0]
(96, 29), [1, 1]
(104, 29), [-1, 1]
(112, 29), [1, 0]
(117, 29), [1, 0]
(1, 30), [1, 0]
(5, 30), [-1, 1]
(6, 30), [1, -1]
(13, 30), [-1, -1]
(21, 30), [1, -1]
(30, 30), [-1, -1]
(31, 30), [0, -1]
(31, 30), [1, 1]
(35, 30), [1, -1]
(41, 30), [-1, -1]
(48, 30), [1, -1]
(50, 30), [1, 1]
(53, 30), [1, -1]
(53, 30), [1, 0]
(62, 30), [1, -1]
(66, 30), [1, -1]
(93, 30), [1, 1]
(95, 30), [0, -1]
(117, 30), [-1, 1]
(122, 30), [1, -1]
(134, 30), [-1, 0]
(135, 30), [0, -1]
(135, 30), [0, 1]
(1, 31), [1, -1]
(3, 31), [-1, 1]
(3, 31), [1, 1]
(7, 31), [0, 1]
(7, 31), [1, 1]
(11, 31), [-1, 1]
(16, 31), [1, 1]
(17, 31), [-1, -1]
(17, 31), [-1, 1]
(38, 31), [1, 1]
(43, 31), [-1, 1]
(49, 31), [-1, 0]
(55, 31), [-1, 0]
(64, 31), [1, 1]
(82, 31), [0, -1]
(88, 31), [-1, -1]
(93, 31), [-1, 0]
(95, 31), [-1, -1]
(100, 31), [0, -1]
(104, 31), [-1, -1]
(117, 31), [-1, 0]
(136, 31), [-1, 0]
(40, 32), [-1, 1]
(43, 32), [1, 1]
(49, 32), [-1, 1]
(50, 32), [1, -1]
(70, 32), [-1, 0]
(70, 32), [1, 1]
(74, 32), [-1, -1]
(74, 32), [0, -1]
(74, 32), [1, 1]
(76, 32), [0, -1]
(76, 32), [1, 0]
(83, 32), [1, 1]
(86, 32), [0, 1]
(110, 32), [-1, 1]
(130, 32), [-1, -1]
(130, 32), [1, 1]
(134, 32), [-1, 0]
(134, 32), [-1, 1]
(62, 33), [1, 1]
(64, 33), [1, -1]
(76, 33), [-1, 0]
(76, 33), [1, -1]
(105, 33), [0, -1]
(125, 33), [0, 1]
(17, 34), [-1, 0]
(22, 34), [-1, 0]
(25, 34), [1, -1]
(29, 34), [1, 1]
(31, 34), [1, -1]
(33, 34), [-1, -1]
(43, 34), [1, -1]
(49, 34), [1, 0]
(55, 34), [-1, -1]
(55, 34), [-1, 0]
(68, 34), [-1, -1]
(80, 34), [-1, 0]
(82, 34), [1, -1]
(82, 34), [1, 1]
(90, 34), [-1, -1]
(94, 34), [0, 1]
(97, 34), [-1, 1]
(100, 34), [1, -1]
(104, 34), [-1, 1]
(106, 34), [1, 0]
(128, 34), [0, -1]
(130, 34), [1, -1]
(139, 34), [-1, 1]
(1, 35), [1, 1]
(3, 35), [-1, 1]
(3, 35), [1, -1]
(51, 35), [-1, -1]
(56, 35), [0, -1]
(56, 35), [1, -1]
(57, 35), [-1, -1]
(57, 35), [0, -1]
(58, 35), [-1, 1]
(58, 35), [0, -1]
(67, 35), [1, 1]
(70, 35), [1, 0]
(76, 35), [-1, -1]
(81, 35), [0, -1]
(98, 35), [1, 0]
(5, 36), [-1, -1]
(30, 36), [0, -1]
(32, 36), [-1, -1]
(34, 36), [-1, 1]
(34, 36), [1, -1]
(41, 36), [1, 1]
(45, 36), [-1, 0]
(45, 36), [0, -1]
(45, 36), [1, 1]
(48, 36), [0, 1]
(74, 36), [1, 0]
(88, 36), [-1, -1]
(103, 36), [0, 1]
(104, 36), [1, 1]
(108, 36), [1, -1]
(110, 36), [-1, -1]
(112, 36), [1, -1]
(118, 36), [0, 1]
(138, 36), [-1, -1]
(7, 37), [0, -1]
(7, 37), [1, 1]
(11, 37), [-1, 0]
(11, 37), [1, -1]
(22, 37), [-1, -1]
(38, 37), [1, -1]
(58, 37), [-1, 0]
(58, 37), [-1, 1]
(77, 37), [1, 1]
(93, 37), [-1, 1]
(108, 37), [1, -1]
(122, 37), [-1, -1]
(122, 37), [1, 1]
(127, 37), [-1, -1]
(11, 38), [-1, 1]
(23, 38), [-1, 0]
(23, 38), [1, -1]
(35, 38), [-1, -1]
(40, 38), [-1, -1]
(40, 38), [-1, 1]
(41, 38), [1, -1]
(41, 38), [1, 1]
(52, 38), [1, 0]
(59, 38), [0, -1]
(64, 38), [-1, 1]
(64, 38), [1, 1]
(69, 38), [1, 1]
(88, 38), [-1, -1]
(93, 38), [0, 1]
(93, 38), [1, 1]
(101, 38), [-1, 0]
(101, 38), [1, 1]
(105, 38), [0, -1]
(108, 38), [-1, -1]
(133, 38), [0, -1]
(136, 38), [-1, -1]
(1, 39), [0, 1]
(1, 39), [1, -1]
(3, 39), [-1, -1]
(7, 39), [1, -1]
(11, 39), [-1, -1]
(11, 39), [-1, 0]
(13, 39), [-1, 1]
(19, 39), [1, 1]
(21, 39), [1, -1]
(21, 39), [1, 1]
(22, 39), [0, 1]
(27, 39), [-1, 1]
(32, 39), [-1, 1]
(51, 39), [0, -1]
(64, 39), [-1, 0]
(126, 39), [-1, -1]
(126, 39), [1, -1]
(130, 39), [-1, -1]
(11, 40), [-1, -1]
(11, 40), [-1, 1]
(18, 40), [-1, -1]
(18, 40), [-1, 1]
(29, 40), [1, -1]
(33, 40), [1, 1]
(41, 40), [1, -1]
(44, 40), [-1, 1]
(44, 40), [1, -1]
(47, 40), [-1, -1]
(47, 40), [1, 0]
(56, 40), [-1, -1]
(56, 40), [-1, 1]
(63, 40), [1, 1]
(64, 40), [-1, -1]
(64, 40), [-1, 1]
(67, 40), [-1, 1]
(67, 40), [1, 1]
(69, 40), [-1, 1]
(75, 40), [-1, 1]
(75, 40), [0, -1]
(85, 40), [1, 1]
(88, 40), [1, 1]
(127, 40), [0, 1]
(59, 41), [-1, 1]
(77, 41), [1, -1]
(114, 41), [-1, -1]
(119, 41), [-1, -1]
(129, 41), [-1, -1]
(129, 41), [1, -1]
(132, 41), [1, 1]
(133, 41), [-1, -1]
(8, 42), [-1, 0]
(13, 42), [-1, 0]
(13, 42), [0, 1]
(25, 42), [1, -1]
(38, 42), [1, -1]
(40, 42), [1, -1]
(43, 42), [0, -1]
(47, 42), [-1, -1]
(49, 42), [1, -1]
(55, 42), [1, 1]
(63, 42), [0, 1]
(64, 42), [-1, -1]
(71, 42), [1, 0]
(75, 42), [-1, -1]
(75, 42), [-1, 1]
(84, 42), [1, -1]
(89, 42), [1, -1]
(91, 42), [1, 1]
(93, 42), [1, -1]
(97, 42), [-1, 1]
(129, 42), [0, 1]
(134, 42), [-1, 1]
(134, 42), [0, -1]
(134, 42), [1, -1]
(3, 43), [0, 1]
(11, 43), [-1, 0]
(22, 43), [-1, -1]
(22, 43), [-1, 0]
(22, 43), [1, -1]
(24, 43), [-1, -1]
(27, 43), [-1, -1]
(38, 43), [-1, 1]
(38, 43), [1, 0]
(49, 43), [-1, 0]
(58, 43), [1, 1]
(77, 43), [-1, -1]
(77, 43), [1, -1]
(81, 43), [1, 1]
(83, 43), [0, 1]
(83, 43), [1, 1]
(103, 43), [-1, 0]
(110, 43), [-1, 1]
(113, 43), [-1, -1]
(113, 43), [1, -1]
(113, 43), [1, 1]
(122, 43), [1, -1]
(122, 43), [1, 0]
(122, 43), [1, 1]
(126, 43), [-1, -1]
(9, 44), [0, 1]
(9, 44), [1, -1]
(12, 44), [-1, 1]
(28, 44), [1, -1]
(46, 44), [-1, 1]
(60, 44), [0, -1]
(60, 44), [1, 1]
(69, 44), [1, 1]
(71, 44), [0, 1]
(75, 44), [-1, -1]
(101, 44), [1, -1]
(103, 44), [-1, -1]
(122, 44), [1, 0]
(128, 44), [-1, 0]
(136, 44), [0, -1]
(1, 45), [0, -1]
(18, 45), [-1, 1]
(25, 45), [-1, -1]
(25, 45), [1, 1]
(27, 45), [-1, -1]
(27, 45), [-1, 1]
(27, 45), [0, 1]
(38, 45), [1, 1]
(59, 45), [-1, 1]
(64, 45), [1, 1]
(82, 45), [-1, 0]
(82, 45), [-1, 1]
(89, 45), [-1, -1]
(117, 45), [0, -1]
(126, 45), [-1, 0]
(11, 46), [-1, 1]
(52, 46), [0, -1]
(68, 46), [-1, 1]
(69, 46), [-1, -1]
(69, 46), [1, 1]
(88, 46), [1, 1]
(91, 46), [0, -1]
(98, 46), [-1, 1]
(115, 46), [-1, -1]
(115, 46), [-1, 0]
(115, 46), [1, 1]
(119, 46), [-1, 1]
(122, 46), [-1, 1]
(122, 46), [1, 1]
(124, 46), [-1, 1]
(124, 46), [1, -1]
(124, 46), [1, 1]
(126, 46), [-1, 1]
(127, 46), [0, 1]
(127, 46), [1, -1]
(3, 47), [1, -1]
(23, 47), [1, 0]
(34, 47), [-1, 1]
(34, 47), [0, 1]
(42, 47), [-1, -1]
(42, 47), [0, 1]
(48, 47), [0, -1]
(48, 47), [1, 1]
(100, 47), [-1, 1]
(0, 48), [1, 1]
(4, 48), [-1, 0]
(7, 48), [0, 1]
(21, 48), [1, -1]
(54, 48), [-1, 0]
(59, 48), [-1, 0]
(61, 48), [0, 1]
(64, 48), [1, 0]
(69, 48), [1, -1]
(75, 48), [0, -1]
(75, 48), [0, 1]
(80, 48), [-1, -1]
(95, 48), [-1, -1]
(98, 48), [1, 0]
(112, 48), [-1, 0]
(118, 48), [0, -1]
(119, 48), [-1, -1]
(129, 48), [0, -1]
(129, 48), [1, 1]
(130, 48), [0, -1]
(130, 48), [1, 1]
(132, 48), [-1, -1]
(139, 48), [0, 1]
(19, 49), [1, 1]
(25, 49), [-1, 1]
(25, 49), [0, 1]
(25, 49), [1, -1]
(25, 49), [1, 1]
(30, 49), [0, 1]
(30, 49), [1, -1]
(33, 49), [-1, 1]
(33, 49), [0, -1]
(38, 49), [1, 1]
(40, 49), [-1, 1]
(41, 49), [-1, 1]
(44, 49), [-1, 1]
(44, 49), [1, -1]
(44, 49), [1, 1]
(48, 49), [-1, -1]
(48, 49), [-1, 1]
(48, 49), [1, -1]
(66, 49), [1, 1]
(80, 49), [1, -1]
(80, 49), [1, 1]
(83, 49), [1, -1]
(83, 49), [1, 0]
(94, 49), [-1, 0]
(100, 49), [-1, -1]
(100, 49), [-1, 1]
(100, 49), [1, 1]
(102, 49), [1, -1]
(134, 49), [0, -1]
(3, 50), [-1, 1]
(8, 50), [-1, -1]
(18, 50), [0, 1]
(48, 50), [-1, -1]
(48, 50), [1, 0]
(60, 50), [1, -1]
(70, 50), [1, -1]
(98, 50), [1, 1]
(14, 51), [1, 0]
(32, 51), [0, -1]
(44, 51), [-1, -1]
(47, 51), [-1, 1]
(54, 51), [-1, -1]
(66, 51), [-1, 1]
(105, 51), [0, 1]
(112, 51), [-1, -1]
(112, 51), [1, -1]
(116, 51), [-1, -1]
(3, 52), [-1, 0]
(9, 52), [-1, -1]
(13, 52), [1, 1]
(44, 52), [-1, 0]
(50, 52), [1, -1]
(66, 52), [-1, -1]
(66, 52), [1, -1]
(68, 52), [-1, -1]
(68, 52), [0, 1]
(75, 52), [-1, 0]
(92, 52), [1, 0]
(98, 52), [1, -1]
(108, 52), [1, -1]
(108, 52), [1, 1]
(116, 52), [-1, -1]
(116, 52), [-1, 1]
(129, 52), [1, -1]
(135, 52), [-1, 1]
(135, 52), [1, -1]
(138, 52), [0, -1]
(1, 53), [0, 1]
(27, 53), [0, -1]
(27, 53), [0, 1]
(36, 53), [-1, -1]
(38, 53), [1, -1]
(41, 53), [-1, -1]
(47, 53), [-1, -1]
(54, 53), [-1, -1]
(54, 53), [-1, 1]
(63, 53), [1, 1]
(65, 53), [-1, 1]
(66, 53), [-1, -1]
(66, 53), [1, -1]
(75, 53), [1, -1]
(75, 53), [1, 1]
(90, 53), [1, -1]
(93, 53), [0, -1]
(95, 53), [-1, 1]
(100, 53), [-1, -1]
(100, 53), [1, -1]
(104, 53), [0, 1]
(116, 53), [-1, 0]
(129, 53), [-1, 0]
(4, 54), [1, -1]
(9, 54), [1, 0]
(9, 54), [1, 1]
(13, 54), [-1, 1]
(13, 54), [0, 1]
(16, 54), [-1, 1]
(38, 54), [-1, 0]
(50, 54), [-1, 1]
(50, 54), [1, 1]
(61, 54), [-1, -1]
(69, 54), [1, 0]
(75, 54), [-1, 0]
(82, 54), [1, 0]
(89, 54), [0, 1]
(116, 54), [-1, -1]
(116, 54), [1, 1]
(119, 54), [1, 1]
(128, 54), [1, 1]
(129, 54), [1, -1]
(131, 54), [1, -1]
(134, 54), [0, -1]
(134, 54), [1, -1]
(134, 54), [1, 1]
(135, 54), [-1, -1]
(136, 54), [-1, -1]
(136, 54), [1, 1]
(22, 55), [0, -1]
(23, 55), [-1, -1]
(23, 55), [1, -1]
(23, 55), [1, 1]
(29, 55), [-1, 1]
(29, 55), [1, -1]
(38, 55), [0, 1]
(56, 55), [-1, 0]
(69, 55), [-1, 1]
(69, 55), [1, -1]
(75, 55), [-1, -1]
(75, 55), [1, 1]
(78, 55), [-1, 1]
(82, 55), [1, 0]
(82, 55), [1, 1]
(98, 55), [-1, -1]
(101, 55), [1, -1]
(106, 55), [-1, 1]
(110, 55), [-1, 0]
(21, 56), [-1, -1]
(21, 56), [1, 1]
(54, 56), [-1, 0]
(65, 56), [1, 1]
(82, 56), [1, 0]
(97, 56), [1, 0]
(116, 56), [-1, -1]
(116, 56), [1, -1]
(120, 56), [-1, -1]
(120, 56), [-1, 0]
(120, 56), [0, -1]
(120, 56), [1, -1]
(137, 56), [-1, 1]
(137, 56), [0, -1]
(4, 57), [0, 1]
(11, 57), [-1, -1]
(11, 57), [1, 1]
(16, 57), [0, 1]
(20, 57), [-1, 1]
(29, 57), [-1, -1]
(37, 57), [-1, 1]
